year,doy,tmin,tmax,snow,calculated_snow,tcrown_min,tcrown_max,tcrown_avg,tcrown_kill,damage_occurence,damage,survive,hardening,hardening_first_stage,hardening_second_stage,dehardening_first_stage,dehardening_second_stage,forecasted
2023,7,-5.9,6.7,0,0,-2.7,6.7,2,-12,0,0,100,0.99482,0.09541,0,0,0,0
2023,8,6.3,10.9,0,0,6.3,10.9,8.6,-11.9,0,0,100,0.97682,0,0,-0.018,-0.036,0
2023,9,6.7,10.4,0,0,6.7,10.4,8.6,-11.8,0,0,100,0.96882,0,0,-0.008,-0.016,0
2023,10,-3.8,13.1,0,0,-1.1,13.1,6,-12,0,0,100,0.99426,0.08744,0,-0.062,-0.124,0
2023,11,0.1,8.3,0,0,0.1,8.3,4.2,-12.6,0,0,100,1.09329,0.09903,0,0,0,0
2023,12,-4,11.1,0,0,-1.2,11.1,4.9,-12.3,0,0,100,1.04929,0.0959,0,-0.022,-0.044,0
2023,13,-3.5,11.1,0,0,-0.8,11.1,5.1,-12,0,0,100,1.00529,0.09468,0,-0.022,-0.044,0
2023,14,-3.8,12.8,0,0,-1.1,12.8,5.9,-11.4,0,0,100,0.89329,0.08889,0,-0.056,-0.112,0
2023,15,-2,7.3,0,0,0.4,7.3,3.8,-12,0,0,100,0.99306,0.09976,0,0,0,0
2023,16,-3.8,6,0,0,-1.1,6,2.5,-12.6,0,0,100,1.09096,0.09791,0,0,0,0
2023,17,5.9,6.5,0,0,5.9,6.5,6.2,-12.6,0,0,100,1.09096,0.08559,0,0,0,0
2023,18,-0.9,3.1,0,0,1.3,3.1,2.2,-12.6,0,0,100,1.09096,0.0966,0,0,0,0
2023,19,-2.4,4.5,0,0,0.1,4.5,2.3,-12.6,0,0,100,1.09096,0.09708,0,0,0,0
2023,20,0.8,7.6,0,0,0.8,7.6,4.2,-12.6,0,0,100,1.09096,0.09903,0,0,0,0
2023,21,-0.8,4.4,0,0,1.4,4.4,2.9,-12.6,0,0,100,1.09096,0.09924,0,0,0,0
2023,22,-3.7,4.8,0,0,-1,4.8,1.9,-12.6,0,0,100,1.09096,0.09501,0,0,0,0
2023,23,-2.5,1.8,0,0,0,1.8,0.9,-12.6,0,0,100,1.09096,0.08658,0,0,0,0
2023,24,-3.9,0.1,0,0,-1.1,0.1,-0.5,-13.1,0,0,100,1.17429,0.06807,0.08333,0,0,0
2023,25,-5,7.1,0,0,-2,7.1,2.5,-13.1,0,0,100,1.17429,0.09817,0,0,0,0
2023,26,-1.2,5.5,0,0,1,5.5,3.3,-13.1,0,0,100,1.17429,0.09989,0,0,0,0
2023,27,-6.7,4.5,0,0,-3.4,4.5,0.6,-13.1,0,0,100,1.17429,0.08284,0,0,0,0
2023,28,-5.9,5.6,0,0,-2.7,5.6,1.4,-13.1,0,0,100,1.17429,0.09149,0,0,0,0
2023,29,-6,-0.4,0,0,-2.8,1.7,-0.6,-13.6,0,0,100,1.25762,0.06717,0.08333,0,0,0
2023,30,-10.9,8.9,0,0,-6.8,8.9,1.1,-13.6,0,0,100,1.25762,0.08826,0,0,0,0
2023,31,-9.8,10.5,0,0,-5.9,10.5,2.3,-13.4,0,0,100,1.23762,0.09718,0,-0.01,-0.02,0
2023,32,-8.9,10.1,0,0,-5.2,10.1,2.5,-13.4,0,0,100,1.23362,0.09789,0,-0.002,-0.004,0
2023,33,-8.4,13.5,0,0,-4.8,13.5,4.4,-12.6,0,0,100,1.09362,0.09851,0,-0.07,-0.14,0
2023,34,-9.2,15.2,0,0,-5.4,15.2,4.9,-11.3,0,0,100,0.88562,0.09614,0,-0.104,-0.208,0
2023,35,-9,16.3,0,0,-5.2,16.3,5.5,-11.1,0,0,100,0.8515,0.09188,0,-0.126,-0.252,0
2023,36,-9.5,13.9,0,0,-5.6,13.9,4.1,-11.2,0,0,100,0.87273,0.09922,0,-0.078,-0.156,0
2023,37,-7.5,6.5,0,0,-4,6.5,1.2,-11.8,0,0,100,0.96255,0.08983,0,0,0,0
2023,38,-5.6,5.8,0,0,-2.5,5.8,1.6,-12.3,0,0,100,1.05576,0.09321,0,0,0,0
2023,39,-1.4,7,0,0,0.9,7,3.9,-12.3,0,0,100,1.05576,0.09962,0,0,0,0
2023,40,0.2,8.1,0,0,0.2,8.1,4.2,-12.3,0,0,100,1.05576,0.09917,0,0,0,0
2023,41,-9.2,9.8,0,0,-5.4,9.8,2.2,-12.3,0,0,100,1.05576,0.09664,0,0,0,0
2023,42,-10.5,10.3,0,0,-6.5,10.3,1.9,-12.3,0,0,100,1.04376,0.09509,0,-0.006,-0.012,0
2023,43,-10.1,12,0,0,-6.1,12,2.9,-11.8,0,0,100,0.96376,0.09937,0,-0.04,-0.08,0
2023,44,-9,13.1,0,0,-5.2,13.1,3.9,-12,0,0,100,1.0014,0.09964,0,-0.062,-0.124,0
2023,45,-8.2,9.7,0,0,-4.6,9.7,2.5,-12,0,0,100,1.0014,0.09821,0,0,0,0
2023,46,-6.2,12.1,0,0,-3,12.1,4.6,-11.5,0,0,100,0.9174,0.0978,0,-0.042,-0.084,0
2023,47,-7.8,12.3,0,0,-4.3,12.3,4,-11.8,0,0,100,0.97088,0.09948,0,-0.046,-0.092,0
2023,48,-9.4,14.4,0,0,-5.6,14.4,4.4,-11.9,0,0,100,0.98122,0.09834,0,-0.088,-0.176,0
2023,49,-8.9,17,0,0,-5.2,17,5.9,-11.6,0,0,100,0.92967,0.08845,0,-0.14,-0.28,0
2023,50,1.5,18.6,0,0,1.5,18.6,10.1,-10.6,0,0,100,0.75767,0,0,-0.172,-0.344,0
2023,51,-2.2,19.9,0,0,0.2,19.9,10.1,-9.4,0,0,100,0.55967,0,0,-0.198,-0.396,0
2023,52,1.2,16.9,0,0,1.2,16.9,9.1,-8.5,0,0,100,0.42167,0,0,-0.138,-0.276,0
2023,53,1.7,12,0,0,1.7,12,6.9,-8.8,0,0,100,0.45949,0.07782,0,-0.04,-0.08,0
2023,54,-1.2,9.5,0,0,1,9.5,5.3,-9.3,0,0,100,0.55332,0.09383,0,0,0,0
2023,55,-3.4,8.7,0,0,-0.7,8.7,4,-9.9,0,0,100,0.65286,0.09954,0,0,0,0
2023,56,-6.8,6.6,0,0,-3.5,6.6,1.6,-10.5,0,0,100,0.74545,0.09259,0,0,0,0
2023,57,-6.8,7,0,0,-3.5,7,1.8,-11,0,0,100,0.83949,0.09404,0,0,0,0
2023,58,-5.8,-2.1,0,0,-2.7,0.3,-1.2,-11,0,0,100,0.83949,0,0.08333,0,0,0
2023,59,-16.1,3.5,3,3,-8.6,3.5,-2.6,-11,0,0,100,0.83949,0,0.08333,0,0,0
2023,60,-11.3,1.1,1,1,-6.5,1.1,-2.7,-11,0,0,100,0.83949,0,0.08333,0,0,0
2023,61,-10.5,5,0,0,-6.5,5,-0.7,-11.4,0,0,100,0.90419,0.0647,0.08333,0,0,0
2023,62,-8.1,3.6,0,0,-4.5,3.6,-0.5,-11.8,0,0,100,0.97319,0.069,0.08333,0,0,0
2023,63,-9.3,12.5,0,0,-5.5,12.5,3.5,-12.1,0,0,100,1.02319,0.1,0,-0.05,-0.1,0
2023,64,-8,11.7,0,0,-4.4,11.7,3.6,-11.7,0,0,100,0.95519,0.09997,0,-0.034,-0.068,0
2023,65,1.8,7.1,0,0,1.8,7.1,4.5,-12.3,0,0,100,1.05341,0.09822,0,0,0,0
2023,66,4.3,12,0,0,4.3,12,8.2,-11.8,0,0,100,0.97341,0,0,-0.04,-0.08,0
2023,67,7.3,14.8,0,0,7.3,14.8,11.1,-11.3,0,0,100,0.87741,0,0,-0.096,-0.192,0
2023,68,8.7,14.4,0,0,8.7,14.4,11.6,-10.7,0,0,100,0.78941,0,0,-0.088,-0.176,0
2023,69,5.4,16.5,0,0,5.4,16.5,11,-10,0,0,100,0.65941,0,0,-0.13,-0.26,0
2023,70,2.9,17.8,0,0,2.9,17.8,10.4,-9,0,0,100,0.50341,0,0,-0.156,-0.312,0
2023,71,9.4,21.7,0,0,9.4,21.7,15.6,-7.6,0,0,100,0.26941,0,0,-0.234,-0.468,0
2023,72,3.9,19.5,0,0,3.9,19.5,11.7,-6.5,0,0,100,0.07941,0,0,-0.19,-0.38,0
2023,73,-0.5,14,0,0,1.6,14,7.8,-6.4,0,0,100,0.06289,0.06348,0,-0.08,-0.16,0
2023,74,-2.1,19.7,0,0,0.3,19.7,10,-6,0,0,100,0,0,0,-0.194,-0.388,0
2023,75,-1,23.4,0,0,1.2,23.4,12.3,-6,0,0,100,0,0,0,-0.268,-0.536,0
2023,76,8.5,14.9,0,0,8.5,14.9,11.7,-6,0,0,100,0,0,0,-0.098,-0.196,0
2023,77,3.5,11,0,0,3.5,11,7.3,-6.3,0,0,100,0.05221,0.07221,0,-0.02,-0.04,0
2023,78,1.5,15.5,0,0,1.5,15.5,8.5,-6,0,0,100,0,0,0,-0.11,-0.22,0
2023,79,-4,19.9,0,0,-1.2,19.9,9.3,-6,0,0,100,0,0,0,-0.198,-0.396,0
2023,80,-2.4,20.4,0,0,0.1,20.4,10.2,-6,0,0,100,0,0,0,-0.208,-0.416,0
2023,81,-1.7,20,0,0,0.6,20,10.3,-6,0,0,100,0,0,0,-0.2,-0.4,0
2023,82,1.4,20.6,0,0,1.4,20.6,11,-6,0,0,100,0,0,0,-0.212,-0.424,0
2023,83,2.2,17.7,0,0,2.2,17.7,10,-6,0,0,100,0,0,0,-0.154,-0.308,0
2023,84,4.4,18.4,0,0,4.4,18.4,11.4,-6,0,0,100,0,0,0,-0.168,-0.336,0
2023,85,4.3,18.4,0,0,4.3,18.4,11.4,-6,0,0,100,0,0,0,-0.168,-0.336,0
2023,86,-2.1,18,0,0,0.3,18,9.2,-6,0,0,100,0,0,0,-0.16,-0.32,0
2023,87,-4.6,22.5,0,0,-1.7,22.5,10.4,-6,0,0,100,0,0,0,-0.25,-0.5,0
2023,88,-0.9,24.2,0,0,1.3,24.2,12.7,-6,0,0,100,0,0,0,-0.284,-0.568,0
2023,89,1.7,22,0,0,1.7,22,11.9,-6,0,0,100,0,0,0,-0.24,-0.48,0
2023,90,8.3,18.7,0,0,8.3,18.7,13.5,-6,0,0,100,0,0,0,-0.174,-0.348,0
2023,91,5.2,15.8,0,0,5.2,15.8,10.5,-6,0,0,100,0,0,0,-0.116,-0.232,0
2023,92,-1.5,13,0,0,0.8,13,6.9,-6.1,0,0,100,0.0172,0.0772,0,-0.06,-0.12,0
2023,93,-1.3,14.3,0,0,1,14.3,7.6,-6,0,0,100,0,0.06634,0,-0.086,-0.172,0
2023,94,-1.6,14.3,0,0,0.7,14.3,7.5,-6,0,0,100,0,0.06828,0,-0.086,-0.172,0
2023,95,-1.6,17,0,0,0.7,17,8.9,-6,0,0,100,0,0,0,-0.14,-0.28,1
2023,96,1.3,17.8,0,0,1.3,17.8,9.6,-6,0,0,100,0,0,0,-0.156,-0.312,1
2023,97,2.2,21,0,0,2.2,21,11.6,-6,0,0,100,0,0,0,-0.22,-0.44,1
2023,98,4.5,21.6,0,0,4.5,21.6,13.1,-6,0,0,100,0,0,0,-0.232,-0.464,1
2023,99,3.2,21.7,0,0,3.2,21.7,12.5,-6,0,0,100,0,0,0,-0.234,-0.468,1
2023,100,4.6,20.5,0,0,4.6,20.5,12.6,-6,0,0,100,0,0,0,-0.21,-0.42,1
2023,101,4.1,23.5,0,0,4.1,23.5,13.8,-6,0,0,100,0,0,0,-0.27,-0.54,1
2023,102,7.5,26.1,0,0,7.5,26.1,16.8,-6,0,0,100,0,0,0,-0.322,-0.644,1
2023,103,8,26.1,0,0,8,26.1,17.1,-6,0,0,100,0,0,0,-0.322,-0.644,1
